"","date","NABAN","PESO.Sum"
"1",2014-12-01,"2710129100",211537.2
"2",2014-12-01,"2710129900",207597113
"3",2014-12-01,"2710191200",51769.12
"4",2014-12-01,"2710193400",236418.79
"5",2014-12-01,"2710193600",260699.53
"6",2014-12-01,"2710193800",2148139.11
"7",2014-12-01,"2710193900",416877.22
"8",2014-12-01,"2710990000",7503.64
"9",2014-12-01,"2710193700",752689.45
"10",2014-12-01,"2710193300",610094.79
"11",2014-12-01,"2710121900",55689690.62
"12",2014-12-01,"2710193500",4310820.68
"13",2014-12-01,"2710191900",2690643.52
"14",2014-12-01,"2710121100",32.76
"15",2014-12-01,"2710121300",118535035.32
"16",2014-12-01,"2710129400",206393.86
"17",2014-12-01,"2710191400",13330580
"18",2014-12-01,"2710192100",286731948
"19",2014-12-01,"2710192200",36.42
"20",2014-12-01,"2710192900",5597312
"21",2014-12-01,"2710193200",1097729.48
"22",2014-12-01,"2710200000",8129.49
"23",2011-01-01,"2710119100",271.11
"24",2011-01-01,"2710191200",2.01
"25",2011-01-01,"2710191900",15100452.22
"26",2011-01-01,"2710193400",257125.91
"27",2011-01-01,"2710193500",7561673.41
"28",2011-01-01,"2710193600",162811.84
"29",2011-01-01,"2710193800",1862249.09
"30",2011-01-01,"2710193900",479707.57
"31",2011-01-01,"2710193700",649773.83
"32",2011-01-01,"2710111300",12041511.37
"33",2011-01-01,"2710193200",44256.72
"34",2011-01-01,"2710193300",365377.63
"35",2011-01-01,"2710111900",8369099.25
"36",2011-01-01,"2710193100",116.09
"37",2011-01-01,"2710119400",18868.12
"38",2011-01-01,"2710119500",12.29
"39",2011-01-01,"2710119900",93109054.48
"40",2011-01-01,"2710192100",199406623
"41",2011-01-01,"2710191500",194400
"42",2011-02-01,"2710119100",268.51
"43",2011-02-01,"2710119400",0.51
"44",2011-02-01,"2710191200",2.7
"45",2011-02-01,"2710192900",63.7
"46",2011-02-01,"2710193400",224652.8
"47",2011-02-01,"2710193500",8995880.35
"48",2011-02-01,"2710193700",416826.43
"49",2011-02-01,"2710193800",1496187.64
"50",2011-02-01,"2710193300",538183.62
